-22.934101470205515,-43.23948128495234,88a8a06141fffff,Tijuca
-22.911290546462197,-43.58621582003633,88a8a02829fffff,Inhoaíba
-22.887275591851356,-43.6716633060393,88a8a028d9fffff,Santa Cruz
-22.842228653868631,-43.252649846799557,88a8a06f4dfffff,Ramos
-23.033741505404087,-43.5861421342151,88a8a039c1fffff,Guaratiba
-22.981252367698318,-43.520316031657124,88a8a076b1fffff,Guaratiba
-22.912875993284928,-43.6999472560408,88a8a02a9bfffff,Santa Cruz
-23.007788093764656,-43.453344284981767,88a8a07447fffff,Recreio dos Bandeirantes
-22.887245723620943,-43.315195837857992,88a8a060e5fffff,Quintino Bocaiúva
-22.787102380657672,-43.220601029527337,88a8a06893fffff,Galeão
-22.928489088297216,-43.402245120333646,88a8a075a5fffff,Jacarepaguá
-23.005785558201186,-43.287308693659647,88a8a071b9fffff,Joá
-22.909417570184171,-43.420223489487469,88a8a0674bfffff,Realengo
-22.879308541808445,-43.259684273323749,88a8a061e1fffff,Higienópolis
-22.842241286810285,-43.5568732027648,88a8a029a7fffff,Campo Grande
-22.932491363302969,-43.177967294171864,88a8a06a49fffff,Catete
-22.910399401195317,-43.733684534873724,88a8a021b1fffff,Santa Cruz
-22.931512787533972,-43.525249384169079,88a8a07493fffff,Campo Grande
-22.909194108705044,-43.367971724775884,88a8a062b1fffff,Tanque
-22.946800263492811,-43.227490102011885,88a8a0789bfffff,Alto da Boa Vista
-22.87570181395796,-43.640652977332827,88a8a0288dfffff,Paciência
-23.000758665640546,-43.3025576381633,88a8a07197fffff,Itanhangá
-22.860359108855839,-43.6341312929459,88a8a028abfffff,Paciência
-22.9798616278427,-43.206763316428386,88a8a078cbfffff,Lagoa
-22.943101282901143,-43.556263661177319,88a8a02b3dfffff,Campo Grande
-22.908837814633255,-43.619957162375513,88a8a0281dfffff,Cosmos
-22.967230778610972,-43.52304733762287,88a8a074d9fffff,Guaratiba
-22.836602685704097,-43.415388337674763,88a8a06553fffff,Parque Anchieta
-22.925321865607113,-43.583486309266227,88a8a02861fffff,Campo Grande
-22.922132578206085,-43.408238059647445,88a8a075a7fffff,Jacarepaguá
-22.908695892197642,-43.26346189859472,88a8a06119fffff,Engenho Novo
-22.968857251784197,-43.636795389832777,88a8a02a0bfffff,Guaratiba
-22.877618467171818,-43.450184440304362,88a8a06627fffff,Padre Miguel
-22.879125954326856,-43.511680718051657,88a8a066cdfffff,Santíssimo
-22.984031656899244,-43.5910704336864,88a8a039b3fffff,Guaratiba
-22.962146536165442,-43.234005038161321,88a8a0632dfffff,Alto da Boa Vista
-22.992247595597668,-43.394567190300073,88a8a07509fffff,Barra da Tijuca
-23.00928863820144,-43.514853037149344,88a8a0768dfffff,Vargem Grande
-22.969012790541559,-43.332531623761511,88a8a06203fffff,Jacarepaguá
-22.871452215208681,-43.508420999341226,88a8a066c5fffff,Santíssimo
-22.838520965816286,-43.277146859958854,88a8a061b7fffff,Penha
-22.835286119884806,-43.406137735796754,88a8a06557fffff,Parque Anchieta
-22.907915699125276,-43.767420401206259,88a8a02e45fffff,Santa Cruz
-22.944829502088584,-43.722244561428106,88a8a021ebfffff,Santa Cruz
-22.998117994572,-43.284050446528958,88a8a071b1fffff,São Conrado
-22.965221489058187,-43.713529804655415,88a8a02111fffff,Santa Cruz
-22.9288955536121,-43.506746648992923,88a8a074bbfffff,Campo Grande
-22.936740455479942,-43.562254398920395,88a8a02b31fffff,Campo Grande
-22.953667715509074,-43.682516164146435,88a8a02135fffff,Santa Cruz
-22.938073060476558,-43.267239863597588,88a8a06333fffff,Andaraí
-22.874990391833453,-43.431682396372011,88a8a06711fffff,Realengo
-23.011516873223972,-43.428845148758583,88a8a0746dfffff,Barra da Tijuca
-22.806179060275717,-43.202617396900663,88a8a0688bfffff,Jardim Guanabara
-22.9245406304199,-43.374488986123588,88a8a06283fffff,Taquara
-22.9166453039831,-43.67545874011379,88a8a02a83fffff,Santa Cruz
-22.9391806988077,-43.528509566960615,88a8a0749bfffff,Campo Grande
-22.870141742265645,-43.499170424764557,88a8a066e9fffff,Senador Camará
-22.871628909413896,-43.256426944616138,88a8a061e7fffff,Bonsucesso
-22.984795337572645,-43.443564980464664,88a8a0742bfffff,Vargem Pequena
-22.925474421640871,-43.63572964243609,88a8a0285bfffff,Paciência
-22.820503336965373,-43.252130041925838,88a8a06f0dfffff,Galeão
-22.872762122825215,-43.517671537156346,88a8a066c1fffff,Santíssimo
-22.884360839427845,-43.548683011420415,88a8a0293bfffff,Campo Grande
-23.014140059488572,-43.447351211742522,88a8a07445fffff,Recreio dos Bandeirantes
-23.008157143378043,-43.557854335643285,88a8a039adfffff,Guaratiba
-22.91901779458567,-43.285224456414348,88a8a06029fffff,Jacarepaguá
-22.89856163620227,-43.598195610929274,88a8a0283dfffff,Cosmos
-22.9597686216859,-43.267760276477993,88a8a06303fffff,Alto da Boa Vista
-22.971585512202871,-43.707541178390628,88a8a0211dfffff,Sepetiba
-22.888311348165356,-43.272193759638405,88a8a061c5fffff,Cachambi
-22.920098284596243,-43.5464824957506,88a8a02943fffff,Campo Grande
-23.020688084684931,-43.49361577284639,88a8a076edfffff,Vargem Grande
-22.921838959221731,-43.712458889017846,88a8a021a1fffff,Santa Cruz
-22.863580899949252,-43.452917017330158,88a8a06441fffff,Padre Miguel
-22.847259238305845,-43.237403760169173,88a8a06a91fffff,Cidade Universitária
-22.845802844498714,-43.480141630316929,88a8a06453fffff,Gericinó
-22.81043492064817,-43.282619957981915,88a8a06f19fffff,Cordovil
